model,mae,mape_percent,rmse,mape_nonzero_count,n
ridge,25.87657520779473,5.882745536871392,35.01833033799972,1008,1008
lstm,30.278373259735037,7.007094103588302,39.866957657745566,1008,1008
tcn,37.79353345623999,8.933459025763385,48.40740155884495,1008,1008
