model,mae,mape_percent,rmse,mape_nonzero_count,n
ridge,84.41761228123883,7.695605548397243,130.48462425927104,1008,1008
lstm,125.73691955954733,10.016519710314933,205.59328044579468,1008,1008
tcn,214.9555416117373,18.99163067127804,324.30360316594187,1008,1008
