model,mae,mape_percent,rmse,mape_nonzero_count,n
ridge,84.41761228123883,7.695605548397243,130.48462425927104,1008,1008
lstm,90.83719878558007,7.93587385451813,144.40442434616355,1008,1008
tcn,83.66726170858436,7.520467406752755,133.5470949347776,1008,1008
