model,mae,mape_percent,rmse,mape_nonzero_count,n
ridge,25.87657520779473,5.882745536871392,35.01833033799972,1008,1008
lstm,29.447080401850425,6.923909226908467,38.533453352202216,1008,1008
tcn,31.511151430117863,7.4145871501731015,41.895952603687356,1008,1008
