area,model,mae,rmse,mape_percent,mape_nonzero_count,n,chosen_config,epochs_final,max_epochs,final_fit_seconds,week_inference_seconds,window_intervals,train_targets,val_targets,final_fit_targets
5161,ridge,84.41761228123883,130.48462425927104,7.695605548397243,1008,1008,"{""alpha"": 0.1}",,40,0.007701199967414141,0.0005716000450775027,144,5328,1008,6336
5161,lstm,90.83719878558007,144.40442434616355,7.93587385451813,1008,1008,"{""width"": 32, ""lr"": 0.001}",40.0,40,41.07283069996629,0.03210790001321584,144,5328,1008,6336
5161,tcn,83.66726170858436,133.5470949347776,7.520467406752755,1008,1008,"{""width"": 32, ""lr"": 0.001}",36.0,40,87.48016100004315,0.12570610002148896,144,5328,1008,6336
4159,ridge,14.166202018409495,19.431305975067925,6.1270010048753605,1008,1008,"{""alpha"": 10.0}",,40,0.0072882999666035175,0.0005023999838158488,144,5328,1008,6336
4159,lstm,14.170697103776362,19.442914412225228,6.24019165900828,1008,1008,"{""width"": 32, ""lr"": 0.001}",39.0,40,43.44732519995887,0.04784810007549822,144,5328,1008,6336
4159,tcn,15.348583593166213,20.28647585820628,7.130341860366526,1008,1008,"{""width"": 16, ""lr"": 0.001}",35.0,40,33.30127490009181,0.07512070005759597,144,5328,1008,6336
4556,ridge,25.87657520779473,35.01833033799972,5.882745536871392,1008,1008,"{""alpha"": 0.1}",,40,0.011693299980834126,0.0008228000951930881,144,5328,1008,6336
4556,lstm,29.447080401850425,38.533453352202216,6.923909226908467,1008,1008,"{""width"": 32, ""lr"": 0.001}",36.0,40,28.71977149997838,0.03706720005720854,144,5328,1008,6336
4556,tcn,31.511151430117863,41.895952603687356,7.4145871501731015,1008,1008,"{""width"": 32, ""lr"": 0.001}",32.0,40,76.42176229995675,0.14565140008926392,144,5328,1008,6336
